unit,cycle,op_setting_1,op_setting_2,op_setting_3,s2,s3,s4,s7,s8,s9,s11,s12,s13,s15,s17,RUL,alert
1,1,34.9983,0.84,100.0,0.3257328990227961,0.2715538236726758,0.5612535612535652,0.6109510086455217,0.0968858131487877,0.1224489795918373,0.463768115942031,0.5617977528089995,0.0799999999999272,0.4974134500596889,0.3999999999999986,125,0
1,2,41.9982,0.8408,100.0,0.5322580645161281,0.4177185600748032,0.407753479125251,0.4816901408450604,0.153094462540821,0.0773343214058783,0.457516339869283,0.4593639575971693,0.180180180180173,0.4277389277389218,0.3333333333333357,125,0
1,3,24.9988,0.6218,60.0,0.6793893129770936,0.3520670089165065,0.4601632335794789,0.6488549618320576,0.1268656716417808,0.1199606686332259,0.3484848484848477,0.3813229571984351,0.1478873239436779,0.3640044166359999,0.6000000000000014,125,0
1,4,42.0077,0.8416,100.0,0.4064516129032256,0.4366526414212259,0.4196819085487107,0.4676056338028118,0.1563517915309376,0.0773343214058783,0.3006535947712407,0.5653710247349863,0.1651651651652628,0.3321678321678334,0.2222222222222214,125,0
1,5,25.0005,0.6203,60.0,0.587786259542014,0.3777357470953788,0.4694908666925776,0.4809160305343525,0.1231343283582191,0.0580137659783588,0.5,0.4163424124513568,0.1373239436619542,0.3721015826278986,0.6000000000000014,125,0
1,6,25.0045,0.6205,60.0,0.5687022900763452,0.6119967576330723,0.4848425961912177,0.5114503816793814,0.1417910447761414,0.0797216549428938,0.4166666666666678,0.4007782101167336,0.1408450704225288,0.3533308796466698,0.3000000000000007,125,0
1,7,42.0043,0.8409,100.0,0.4806451612903402,0.2828424497428727,0.435785288270381,0.5380281690140833,0.1693811074918585,0.0973957230573745,0.4509803921568611,0.484098939929332,0.1891891891892783,0.4195804195804129,0.3333333333333357,125,0
1,8,20.002,0.7002,100.0,0.4262820512820724,0.3522197694383138,0.418656302054412,0.4886877828054423,0.0442477876104021,0.075777202072544,0.2993630573248431,0.6212121212121247,0.0327868852459687,0.4208523592085242,0.3999999999999986,125,0
1,9,41.9995,0.8407,100.0,0.3483870967742177,0.3010752688172076,0.4409542743538814,0.3549295774647873,0.1661237785017419,0.1216387889053507,0.5228758169934622,0.653710247349828,0.1681681681682221,0.4681429681429705,0.4444444444444499,125,0
1,10,42.0011,0.84,100.0,0.3483870967742177,0.4920523609163183,0.4341948310139152,0.5352112676056251,0.1498371335504771,0.0686004658056234,0.339869281045754,0.4876325088339257,0.1681681681682221,0.4988344988344977,0.2222222222222214,125,0
1,11,42.0029,0.84,100.0,0.50322580645161,0.4060308555399743,0.4166998011928449,0.2845070422535158,0.1596091205212815,0.0628308278636424,0.3594771241830052,0.4558303886925827,0.1741741741741407,0.4654234654234628,0.4444444444444499,125,0
1,12,0.0015,0.001,100.0,0.4451219512195052,0.3870967741935445,0.331384727804167,0.6538461538461462,0.4255319148933267,0.0936026245642764,0.2732919254658412,0.5398230088495382,0.5208333333330302,0.2197125256673544,0.4545454545454532,125,0
1,13,20.0003,0.7,100.0,0.5,0.5251410350748102,0.4878771053118633,0.696832579185525,0.0442477876104021,0.0832548280734783,0.4012738853503208,0.5181818181818159,0.0737704918035433,0.2682648401826455,0.3999999999999986,125,0
1,14,42.002,0.8407,100.0,0.3935483870967857,0.4053295932678864,0.316699801192847,0.5070422535211208,0.1596091205212815,0.1210565318653351,0.3986928104575149,0.5229681978798624,0.1891891891892783,0.4786324786324769,0.3333333333333357,125,0
1,15,10.0038,0.2513,100.0,0.4197530864197745,0.4417775665399261,0.3560842433697324,0.7625000000000028,0.2592592592591245,0.0833333333333357,0.4266666666666694,0.7558139534883708,0.426229508196684,0.2024959742351058,0.3636363636363668,125,0
1,16,35.0053,0.8419,100.0,0.4039087947882365,0.3641013151485666,0.3359631821170303,0.5533141210374595,0.1349480968858643,0.091954700955533,0.2608695652173907,0.4569288389513133,0.0933333333334758,0.4062873060087497,0.2000000000000028,125,0
1,17,25.0077,0.6217,60.0,0.2748091603053524,0.4415022966765676,0.5680139914496714,0.5216284987277362,0.1305970149253426,0.1532410558959114,0.3787878787878789,0.5019455252918235,0.1478873239436779,0.2443871917556137,0.4000000000000021,125,0
