unit,cycle,op_setting_1,op_setting_2,op_setting_3,s2,s3,s4,s7,s8,s9,s11,s12,s13,s15,s17,RUL,alert
1,1,-0.0007,-0.0004,100.0,0.1837349397590344,0.4068018312622641,0.3097569209993231,0.72624798711756,0.2424242424240219,0.1097550031409895,0.3690476190476204,0.6332622601279212,0.2058823529409892,0.3639861485186628,0.3333333333333357,125,0
1,2,0.0019,-0.0003,100.0,0.2831325301204686,0.4530194026596916,0.3526333558406485,0.628019323671495,0.2121212121210192,0.1002423045858407,0.3809523809523831,0.7654584221748308,0.2794117647058556,0.4113120430935026,0.3333333333333357,125,0
1,3,-0.0043,0.0003,100.0,0.3433734939759176,0.3695225637671697,0.370526671168129,0.7101449275362341,0.2727272727270247,0.1400430763708158,0.2500000000000035,0.7953091684434952,0.2205882352941444,0.3574451712197017,0.1666666666666714,125,0
1,4,0.0007,0.0,100.0,0.3433734939759176,0.256158709396125,0.3311951384199858,0.7407407407407476,0.3181818181819835,0.1245176343892993,0.1666666666666678,0.8891257995735629,0.294117647058556,0.1666025394382444,0.3333333333333357,125,0
1,5,-0.0019,-0.0002,100.0,0.3493975903614341,0.257466753869636,0.4046252532072927,0.6682769726247955,0.2424242424240219,0.149959615902361,0.2559523809523831,0.7462686567164241,0.2352941176468448,0.4020777222008433,0.4166666666666714,125,0
1,6,-0.0043,-0.0001,100.0,0.2680722891566347,0.2927839546544604,0.2721134368669808,0.7761674718196474,0.1818181818180164,0.1254150587813001,0.1845238095238066,0.63752665245201,0.2205882352941444,0.3305117352828048,0.25,125,0
1,7,0.001,0.0001,100.0,0.3825301204819311,0.4639197732722948,0.2619851451721793,0.7230273752012977,0.1818181818180164,0.1678183613030555,0.3035714285714306,0.7739872068230369,0.2205882352941444,0.2789534436321688,0.3333333333333357,125,0
1,8,-0.0034,0.0003,100.0,0.4066265060240823,0.2598648354044073,0.3160027008777852,0.6441223832528209,0.1515151515150137,0.0855694157767175,0.2321428571428576,0.8059701492537386,0.2205882352941444,0.3181993074259353,0.25,125,0
1,9,0.0008,0.0001,100.0,0.2740963855421796,0.434706780030524,0.2118501012829163,0.6183574879227081,0.2272727272729753,0.1109665260701788,0.2619047619047627,0.660980810234534,0.25,0.1843016544824962,0.3333333333333357,125,0
1,10,-0.0033,0.0001,100.0,0.1506024096385658,0.4403749727490762,0.3073936529372041,0.6022544283413964,0.2272727272729753,0.134479045140452,0.1071428571428576,0.660980810234534,0.2647058823527004,0.3989996152366259,0.4166666666666714,125,0
1,11,0.0018,-0.0003,100.0,0.322289156626482,0.2334859385219161,0.3104321404456449,0.755233494363921,0.2272727272729753,0.1251009602441044,0.178571428571427,0.5778251599147097,0.1911764705882888,0.4197768372450952,0.3333333333333357,125,0
1,12,0.0016,0.0002,100.0,0.2560240963855165,0.2696751689557501,0.3021607022282246,0.7520128824476586,0.2878787878789808,0.1240240509737091,0.1964285714285729,0.6631130063965855,0.2058823529409892,0.265101962293194,0.25,125,0
1,13,-0.0019,0.0004,100.0,0.5602409638554491,0.2430782646610012,0.3136394328156626,0.5780998389694076,0.3333333333330301,0.1125818899757717,0.3154761904761933,0.6737739872068289,0.294117647058556,0.347441323585997,0.4166666666666714,125,0
1,14,0.0009,-0.0,100.0,0.3433734939759176,0.4776542402441706,0.2854490209318037,0.7455716586151482,0.2878787878789808,0.115049807053758,0.3511904761904745,0.6353944562899727,0.1764705882351336,0.2751058099268988,0.4166666666666714,125,0
1,15,-0.0018,-0.0003,100.0,0.3674698795180688,0.2786134728580762,0.3355840648210701,0.6103059581320451,0.3181818181819835,0.1368123485596299,0.2678571428571423,0.8123667377398789,0.294117647058556,0.3655252020007751,0.25,125,0
1,16,0.0006,0.0005,100.0,0.2771084337349236,0.3693045563549191,0.3755908170155315,0.6586151368760227,0.2272727272729753,0.1238894373149079,0.2321428571428576,0.5970149253731307,0.2794117647058556,0.2643324355521343,0.3333333333333357,125,0
1,17,0.0002,0.0002,100.0,0.4126506024096557,0.3034663178548129,0.2987846049966229,0.6360708534621438,0.2424242424240219,0.1489275778515661,0.1607142857142847,0.6823027718550065,0.2352941176468448,0.4974990380915756,0.3333333333333357,125,0
1,18,-0.0031,-0.0001,100.0,0.424698795180717,0.4360148245040349,0.2341323430114776,0.7004830917874472,0.2272727272729753,0.1248317329264949,0.2142857142857153,0.6545842217483937,0.2794117647058556,0.2997306656406309,0.3333333333333357,125,0
