unit,cycle,op_setting_1,op_setting_2,op_setting_3,s2,s3,s4,s6,s7,s8,s9,s11,s12,s13,s14,s15,s17,s20,s21
1,1,42.0049,0.84,100.0,0.5,0.25529340592861516,0.2788659793814432,0.6000000000000085,0.15256410256410646,0.2832764505119485,0.14102335532180632,0.2619047619047592,0.20617110799438976,0.30793650793634697,0.17593503937007426,0.6026380873866444,0.3636363636363633,0.4599999999999991,0.47313807531380725
1,2,20.002,0.7002,100.0,0.1134328358209018,0.3351170568561912,0.21759425493716478,0.45454545454543904,0.15628891656288957,0.11464968152859001,0.13334748911773886,0.24193548387096797,0.1140893470790374,0.059602649006819775,0.11552925220393462,0.5776454420522228,0.09090909090909349,0.2977099236641223,0.380396586345384
1,3,42.0038,0.8409,100.0,0.28779069767443843,0.24904214559386872,0.34965635738831224,0.4000000000000057,0.257692307692313,0.3037542662115129,0.11350805253461971,0.24404761904761685,0.18373071528751694,0.301587301587233,0.12543061023622215,0.7411376751854917,0.2727272727272734,0.3200000000000003,0.5640167364016726
1,4,42.0,0.84,100.0,0.21511627906977537,0.21113127646702878,0.36649484536082255,0.6000000000000085,0.2320512820512839,0.29010238907846997,0.1471444701967144,0.2559523809523796,0.20897615708274841,0.3174603174602453,0.18343996062991863,0.6096455070074178,0.18181818181818343,0.379999999999999,0.5578242677824274
1,5,25.0063,0.6207,60.0,0.22064056939501597,0.32065356139903045,0.18154820827558638,0.4000000000000057,0.23771580345285415,0.20491803278684984,0.08685876082611799,0.2838709677419331,0.2303206997084537,0.1992187499998863,0.17133076593923136,0.507187298862906,0.3333333333333286,0.2222222222222232,0.6256825788268454
1,6,34.9996,0.84,100.0,0.20639534883721922,0.19604688577338436,0.2526902382782481,0.3333333333333428,0.22583926754832362,0.15699658703078967,0.11713039377505652,0.1779141104294446,0.14427312775330492,0.16293929712458066,0.13026220832331603,0.6920210434020184,0.09090909090908994,0.4949494949494948,0.4015371477369758
1,7,0.0019,0.0001,100.0,0.28453038674035724,0.3508463398549111,0.24056374534262304,0.5714285714285552,0.14205607476636217,0.5714285714286689,0.1821230924031525,0.15476190476190155,0.12634822804314538,0.567901234567671,0.2008378216636757,0.5544928265794127,0.3333333333333286,0.42857142857142705,0.5434248477726698
1,8,41.9981,0.84,100.0,0.31686046511626387,0.27001411574914513,0.2417525773195841,0.4000000000000057,0.12307692307692619,0.3037542662115129,0.11701432222024977,0.20833333333333215,0.18793828892005493,0.301587301587233,0.1830708661417333,0.6735366859027216,0.2727272727272734,0.39000000000000057,0.32535564853556487
1,9,42.0016,0.84,100.0,0.46220930232556157,0.24359749949586273,0.08539518900343523,0.6000000000000085,0.23717948717949255,0.29692832764499144,0.1201640221073248,0.11309523809523725,0.18793828892005493,0.31111111111101764,0.15317421259842234,0.6127370156636438,0.18181818181818343,0.47000000000000064,0.37020920502092025
1,10,25.0019,0.6217,60.0,0.309608540925268,0.23589481746234497,0.3355771134428771,0.5999999999999943,0.22177954847277448,0.20901639344265277,0.1775483011325747,0.12903225806451957,0.22594752186589062,0.21875,0.2022250748823211,0.673460630765927,0.3333333333333286,0.5092592592592613,0.5138277259115736
