unit,cycle,op_setting_1,op_setting_2,op_setting_3,s2,s3,s4,s7,s8,s9,s11,s12,s13,s15,s17
1,1,34.9983,0.84,100.0,0.3257328990227961,0.2715538236726758,0.5612535612535652,0.6109510086455217,0.09688581314878775,0.12244897959183731,0.46376811594203105,0.5617977528089995,0.07999999999992724,0.49741345005968896,0.3999999999999986
1,2,41.9982,0.8408,100.0,0.5322580645161281,0.41771856007480324,0.40775347912525106,0.48169014084506045,0.15309446254082104,0.07733432140587837,0.457516339869283,0.4593639575971693,0.180180180180173,0.42773892773892186,0.3333333333333357
1,3,24.9988,0.6218,60.0,0.6793893129770936,0.35206700891650655,0.46016323357947897,0.6488549618320576,0.12686567164178086,0.11996066863322596,0.34848484848484773,0.3813229571984351,0.14788732394367798,0.3640044166359999,0.6000000000000014
1,4,42.0077,0.8416,100.0,0.4064516129032256,0.43665264142122595,0.4196819085487107,0.46760563380281184,0.1563517915309376,0.07733432140587837,0.30065359477124076,0.5653710247349863,0.1651651651652628,0.3321678321678334,0.22222222222222143
1,5,25.0005,0.6203,60.0,0.587786259542014,0.3777357470953788,0.46949086669257767,0.4809160305343525,0.12313432835821914,0.05801376597835883,0.5,0.41634241245135684,0.13732394366195422,0.3721015826278986,0.6000000000000014
1,6,25.0045,0.6205,60.0,0.5687022900763452,0.6119967576330723,0.4848425961912177,0.5114503816793814,0.14179104477614146,0.07972165494289385,0.41666666666666785,0.40077821011673365,0.1408450704225288,0.35333087964666987,0.3000000000000007
1,7,42.0043,0.8409,100.0,0.4806451612903402,0.28284244974287276,0.435785288270381,0.5380281690140833,0.16938110749185853,0.09739572305737454,0.45098039215686114,0.48409893992933206,0.1891891891892783,0.4195804195804129,0.3333333333333357
1,8,20.002,0.7002,100.0,0.4262820512820724,0.3522197694383138,0.41865630205441207,0.48868778280544234,0.044247787610402156,0.07577720207254401,0.29936305732484314,0.6212121212121247,0.03278688524596873,0.42085235920852426,0.3999999999999986
1,9,41.9995,0.8407,100.0,0.34838709677421775,0.3010752688172076,0.44095427435388146,0.35492957746478737,0.16612377850174198,0.12163878890535074,0.5228758169934622,0.653710247349828,0.1681681681682221,0.4681429681429705,0.44444444444444997
1,10,42.0011,0.84,100.0,0.34838709677421775,0.4920523609163183,0.4341948310139152,0.5352112676056251,0.14983713355047712,0.0686004658056234,0.339869281045754,0.4876325088339257,0.1681681681682221,0.4988344988344977,0.22222222222222143
1,11,42.0029,0.84,100.0,0.50322580645161,0.4060308555399743,0.4166998011928449,0.28450704225351586,0.1596091205212815,0.06283082786364247,0.35947712418300526,0.45583038869258274,0.17417417417414072,0.4654234654234628,0.44444444444444997
1,12,0.0015,0.001,100.0,0.44512195121950526,0.3870967741935445,0.33138472780416706,0.6538461538461462,0.42553191489332676,0.09360262456427648,0.27329192546584125,0.5398230088495382,0.5208333333330302,0.21971252566735444,0.45454545454545325
1,13,20.0003,0.7,100.0,0.5,0.5251410350748102,0.48787710531186335,0.696832579185525,0.044247787610402156,0.08325482807347839,0.4012738853503208,0.5181818181818159,0.07377049180354334,0.2682648401826455,0.3999999999999986
